track_id,bpm,musical_key,camelot,energy,groove,vocal,role,source,confidence
spotify-70OtvVapZmDucK1owYRf3Z,120.0,F minor,4A,0.888,afro,0.43,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 70OtvVapZmDucK1owYRf3Z,0.64
spotify-7dDoLRPOgIdxDPN60P5vR2,123.0,D major,10B,0.785,afro,0.061,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7dDoLRPOgIdxDPN60P5vR2,0.64
spotify-2dyfnrBpCyinfhdZN4IsF3,124.0,G minor,6A,0.742,afro,0.186,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/blackbird-pull-out-the-fire,0.9
spotify-0wGlXAZU2OQlOiCghAOCqm,132.0,F minor,4A,0.341,techno,0.855,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0wGlXAZU2OQlOiCghAOCqm,0.64
spotify-1UhzFALHc9kjh3UqRJjR02,127.0,D major,10B,0.545,techno,0.397,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-wind,0.82
spotify-4G6RcByL6hwtBJdhJDniFf,128.0,C minor,5A,0.534,techno,0.237,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-mantra-extended-mix,0.9
spotify-3AjSfp5FDvwtMU9XBsbS8j,150.0,G major,9B,0.753,techno,0.455,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3AjSfp5FDvwtMU9XBsbS8j ; manual conflict resolution: https://music.toolstud.io/tracks/bd32-162c/push-up-main-edit | Spotify public preview analysis,0.86
spotify-09CnYHiZ5jGT1wr1TXJ9Zt,150.0,G# minor,1A,0.814,techno,0.287,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/tiesto-thank-you-not-so-bad,0.82
spotify-25V0TNA8cZLVzLQpHa6rB1,125.0,F minor,4A,0.796,techno,0.44,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 25V0TNA8cZLVzLQpHa6rB1,0.64
spotify-1KOTY2OVnEgua9eY76WxvT,148.0,G minor,6A,0.611,techno,0.03,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/funk-tribu-azul-extended-mix,0.9
spotify-5e4II0hLokRNiw4q2uHeL8,154.0,F minor,4A,0.634,techno,0.312,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/nico-moreno-better-with-you ; manual conflict resolution: https://www.beatport.com/artist/nico-moreno/665892/tracks | Spotify public preview onset analysis (154 BPM double-time grid),0.86
spotify-5JUOGoWTvUtTdedxOjTZ08,128.0,E major,12B,0.289,techno,0.489,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5JUOGoWTvUtTdedxOjTZ08,0.64
spotify-6ho0GyrWZN3mhi9zVRW7xi,125.0,G major,9B,0.79,tech-house,0.316,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6ho0GyrWZN3mhi9zVRW7xi ; manual conflict resolution: https://www.beatport.com/track/losing-it/10766349 | https://www.mixgraph.io/tracks/fisher-losing-it,0.86
spotify-5hmcw6bW5V24CvJqsz87We,123.0,G minor,6A,0.679,house,0.337,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/diplo-on-my-mind-purple-disco-machine-remix-extended,0.9
spotify-5PL7k9QH7Kj7B4527dHvon,124.0,B major,1B,0.735,afro,0.381,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hugel-la-verdolaga-feat-tot-la-momposina-extended-mix,0.82
spotify-5nZ9KC7vuQe8vy7N3M5YXj,130.0,D minor,7A,0.658,tech-house,0.089,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/juos-dile,0.82
spotify-3szSyYRapmpvq9UKU3drwy,123.0,C# major,3B,0.597,afro,0.331,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3szSyYRapmpvq9UKU3drwy,0.64
spotify-2SYt3HZ7dZ8EyvvrsJBrS6,125.0,A minor,8A,0.551,tech-house,0.226,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2SYt3HZ7dZ8EyvvrsJBrS6,0.64
spotify-3fwmJrwHkJrUcybkmTU8pd,128.0,D major,10B,0.652,house,0.243,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/reebs-shingaling-shingaling-extended-mix,0.82
spotify-46d9wSmQTSyBrJKQ9YwNHb,129.0,F# minor,11A,0.62,tech-house,0.658,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 46d9wSmQTSyBrJKQ9YwNHb,0.64
spotify-4FHXsehfIbyPCJLP7fCnIF,125.0,G minor,6A,0.922,tech-house,0.743,closer,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4FHXsehfIbyPCJLP7fCnIF,0.64
spotify-7DxrTNmUprBMQ0RV45xreb,126.0,G major,9B,0.6,tech-house,0.224,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/toman-verano-en-ny,0.82
spotify-0FIAB3qd9n8Va9rhmRjteH,125.0,C# major,3B,0.701,afro,0.607,bridge,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0FIAB3qd9n8Va9rhmRjteH,0.64
spotify-3wlEt7tgbcyowpdlcnCwfz,122.0,D minor,7A,0.465,afro,0.66,closer,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/francis-mercier-sauti,0.82
spotify-5Lm6Vl5RjOF77si7Tv5Usz,125.0,B major,1B,0.525,afro,0.414,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/martina-camargo-tambora-extended-mix,0.82
spotify-5XOzAn4HqJDrjDHt65rt7L,122.0,A# minor,3A,0.701,afro,0.203,bridge,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/raffa-guido-bailalo-extended-mix,0.9
spotify-6rR9j58vyiStN9CefIGVm7,122.0,E minor,9A,0.552,afro,0.224,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/dennis-cartier-mi-alma-extended-mix,0.9
spotify-7IUGkB1cmE78vv9wlYtfER,125.0,A minor,8A,0.325,afro,0.514,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7IUGkB1cmE78vv9wlYtfER,0.64
spotify-6SeZObDDZZiJmzY4qgfh57,125.0,F# minor,11A,0.505,house,0.129,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/illyus-barrientos-capitale-extended-mix,0.82
spotify-7e9eZ3JJ0JPkfNNrLsWBt5,125.0,F# major,2B,0.392,house,0.561,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7e9eZ3JJ0JPkfNNrLsWBt5,0.64
spotify-7q7xQ91AWU1PFni84RznU9,126.0,G major,9B,0.355,house,0.095,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7q7xQ91AWU1PFni84RznU9,0.64
spotify-2NPOfAcuPVBilgRETr0qJq,133.0,C# minor,12A,0.336,techno,0.499,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2NPOfAcuPVBilgRETr0qJq,0.64
spotify-5PI6kX5XDbiLsTjX7qJjE2,132.0,A# minor,3A,0.504,techno,0.213,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/james-carter-dont-wake-us-up-extended-mix,0.82
spotify-1dZufI94FSPvNcHzbr0nT2,128.0,E minor,9A,0.641,techno,0.602,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1dZufI94FSPvNcHzbr0nT2,0.64
spotify-55Zql8avsQO7zPiBqJvFAI,138.0,B minor,10A,0.377,house,0.705,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 55Zql8avsQO7zPiBqJvFAI,0.64
